column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,missing_value_code,source_files,berdl_export_status,mapping_notes,proposed_bervo_term,sample_values,suggested_berdl_table,modeling_recommendation
ACF_SCATCOR,"Apparent clumping factor, Method = scattering correction",BERVO:8000535,dimensionless unit,Apparent clumping factor derived from the scatter-corrected gap fraction analysis.,numeric,NA,lai_au_summary_data_cleaned.csv | lai_meadow_summary_data_cleaned.csv | lai_shrub_summary_data_cleaned.csv | lai_tree_summary_data_cleaned.csv,used_in_berdl_data_table,Uses new Apparent clumping factor term.,,0.74 | 0.8 | 0.7 | 0.62,leaf_area_index_summary,data_variable: analysis-ready LAI summary variable.
CHI_SCATCOR,"Algorithm parameter, Context = leaf angle distribution chi, Method = scattering correction",BERVO:8000304,dimensionless unit,"Leaf angle distribution chi parameter estimated during the scatter correction procedure, describing the eccentricity of the assumed ellipsoidal leaf angle distribution. A value of 1 indicates a spherical distribution, values less than 1 indicate more erectophile foliage, and values greater than 1 indicate more planophile foliage.",numeric,NA,lai_au_summary_data_cleaned.csv | lai_meadow_summary_data_cleaned.csv | lai_shrub_summary_data_cleaned.csv | lai_tree_summary_data_cleaned.csv,used_in_berdl_data_table,Uses existing BERVO Algorithm parameter term for chi parameter.,,0.24 | 0.1 | 0.23 | 0.57,leaf_area_index_summary,data_variable: analysis-ready LAI summary variable.
GAPS,unnecessary?,,,Mean ring-level gap fraction in intermediate rlai output.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
CNTCT,unnecessary?,,,"Mean contact frequency (Kbar), the logarithm of gap fraction divided by path length, for each sensor ring.",numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
STDDEV,unnecessary?,,,Standard deviation of contact frequency for each sensor ring.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
AVGTRANS,unnecessary?,,,Average transmittance for each sensor ring.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
ACFS,unnecessary?,,,Apparent clumping factor for each sensor ring.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
LAIj,unnecessary?,,,Leaf area index computed for each individual measurement record.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
GAPFRAC,unnecessary?,,,Gap fraction for each measurement record and sensor ring.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
ANGLES,unnecessary?,,,Midangle of the field of view for each sensor ring in intermediate rlai output.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeS,unnecessary?,,,Beam extinction coefficient for the sun direction computed during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeV1,unnecessary?,,,Beam extinction coefficient for sensor ring 1 view direction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeV2,unnecessary?,,,Beam extinction coefficient for sensor ring 2 view direction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeV3,unnecessary?,,,Beam extinction coefficient for sensor ring 3 view direction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeV4,unnecessary?,,,Beam extinction coefficient for sensor ring 4 view direction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
KbeV5,unnecessary?,,,Beam extinction coefficient for sensor ring 5 view direction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Ileaf1,unnecessary?,,,Leaf-scattered radiation contribution for sensor ring 1 estimated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Ileaf2,unnecessary?,,,Leaf-scattered radiation contribution for sensor ring 2 estimated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Ileaf3,unnecessary?,,,Leaf-scattered radiation contribution for sensor ring 3 estimated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Ileaf4,unnecessary?,,,Leaf-scattered radiation contribution for sensor ring 4 estimated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Ileaf5,unnecessary?,,,Leaf-scattered radiation contribution for sensor ring 5 estimated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
dKbeV1,unnecessary?,,,Difference between sun-direction and sensor-ring 1 beam extinction coefficients.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
dKbeV2,unnecessary?,,,Difference between sun-direction and sensor-ring 2 beam extinction coefficients.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
dKbeV3,unnecessary?,,,Difference between sun-direction and sensor-ring 3 beam extinction coefficients.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
dKbeV4,unnecessary?,,,Difference between sun-direction and sensor-ring 4 beam extinction coefficients.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
dKbeV5,unnecessary?,,,Difference between sun-direction and sensor-ring 5 beam extinction coefficients.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
chi,unnecessary?,,,Leaf angle distribution chi parameter updated during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
f,unnecessary?,,,Forward-scattering fraction derived from leaf single-scattering albedo and leaf angle geometry.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Scat1,unnecessary?,,,Scattered-radiation correction term for sensor ring 1.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Scat2,unnecessary?,,,Scattered-radiation correction term for sensor ring 2.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Scat3,unnecessary?,,,Scattered-radiation correction term for sensor ring 3.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Scat4,unnecessary?,,,Scattered-radiation correction term for sensor ring 4.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
Scat5,unnecessary?,,,Scattered-radiation correction term for sensor ring 5.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
omega,unnecessary?,,,Leaf single-scattering albedo used during scattering correction.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
L,unnecessary?,,,Leaf area index estimate at a scattering-correction iteration.,numeric,NA,,excluded_intermediate_or_raw,Raw/intermediate zip files excluded for now because BERVO mapping requires specialized LI-COR/rlai knowledge.,,,not_exported,not_exported: raw/intermediate zip files excluded for now.
L_FV2200,unnecessary?,,,"Leaf area index (LAI) computed using LI-COR FV2200 software with the standard LI-COR 2200 algorithm, corrected for foliage clumping via the apparent clumping factor.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.04 | 0.01 | 0.49 | 0.18,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
Le_FV2200,unnecessary?,,,"Effective leaf area index computed using LI-COR FV2200 software with the standard LI-COR 2200 algorithm, assuming a random (non-clumped) foliage distribution. This is the uncorrected estimate prior to application of the clumping factor.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.04 | 0.01 | 0.43 | 0.15,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
L_2200,unnecessary?,,,"Leaf area index computed using the `rlai` R package with the LI-COR native 2200 algorithm, corrected for foliage clumping via the apparent clumping factor.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.22 | 0.73 | 1.2 | 0.87,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
Le_2200,unnecessary?,,,"Effective leaf area index computed using the `rlai` R package with the LI-COR native 2200 algorithm, assuming a random (non-clumped) foliage distribution. This is the uncorrected estimate prior to application of the clumping factor.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.17 | 0.58 | 1.06 | 0.82,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
S_SCATCOR_FV2200,unnecessary?,,,Scattering correction factor computing using LI-COR FV2200 software. This value is applied to gap fraction estimates to compute L_SCATCOR.,numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.012 | 0.002 | 1.8 | 0.072,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
L_SCATCOR_FV2200,unnecessary?,,,"Scatter-corrected leaf area index (LAI) computed using LI-COR FV2200 software. This value represents a correction on L_FV2200 for radiation scattering through foliage by accounting for non-zero leaf transmittance at the measurement wavelength, typically yielding a higher L than uncorrected estimates.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.05 | 0.01 | 0.5 | 0.92,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
S_SCATCOR_rlai,unnecessary?,,,Scattering correction factor computing using the `rlai` R package. This value is applied to gap fraction estimates to compute L_SCATCOR.,numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.028 | 0.009 | 0.09 | 0.007,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
L_SCATCOR_rlai,unnecessary?,,,"Scatter-corrected leaf area index (LAI) computed using the `rlai` R package. This value represents a correction on L_2200 for radiation scattering through foliage by accounting for non-zero leaf transmittance at the measurement wavelength, typically yielding a higher L than uncorrected estimates.",numeric,NA,,excluded_spot_checks,spot_checks.csv is excluded from the current BERDL import by user request.,,0.07 | 0.01 | 0.58 | 0.18,not_exported,not_exported: spot_checks.csv remains excluded by prior user request; keep only as validation reference.
